source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all-maryino,15893022.599182613,45.66307783105724,1.0,4.0,15.0,,55.64297980705876,37.73570236615794,,,8.875726651237855,требует ремонта / частичный ремонт,панельные,1994.0,2.6479439648029497,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,348049.745091277,0.26666666666666666,32.0,,17,1,geo_cluster_interpolation,17
all,15207416.984420681,47.71918157482567,2.0,5.0,7.0,,55.648863641925686,37.717351782847,,,6.185552909638745,косметический ремонт,панели железобетонные,1980.0,2.6871838328249646,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,318685.6203846417,0.7142857142857143,46.0,,17,1,geo_cluster_interpolation,17
all,21500462.732428253,46.39605141565034,2.0,25.0,38.0,,55.639355713819036,37.69171669728698,,,18.85368293150283,черновая отделка,монолитно-каркасные,2014.0,2.780494353989566,не угловая,unknown,,двор,парковка во дворе,нет,synthetic,,,,,,,,,,463411.4774080905,0.6578947368421053,12.0,,17,1,geo_cluster_interpolation,17
all,16769255.763011694,43.33918532016835,2.0,7.0,26.0,,55.62690952509856,37.72293161220568,,,12.246224293747144,обычное состояние,панельные,2002.0,2.6670007363450936,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,386930.5719322773,0.2692307692307692,24.0,,17,1,geo_cluster_interpolation,17
all-maryino,15299278.8573817,40.02718293254421,1.0,7.0,20.0,,55.65389188262882,37.734998221467684,,,9.411580303784703,косметический ремонт,панельные,2007.0,2.6717287498776594,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,382222.2234116451,0.35,19.0,,17,1,geo_cluster_interpolation,17
2k,17256818.992978748,42.93933236061493,2.0,25.0,28.0,,55.64239281875083,37.7292046714615,,,12.373691571106102,требует ремонта / частичный ремонт,панельные,2011.0,2.6716958796458115,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,401888.38634126395,0.8928571428571429,15.0,,17,1,geo_cluster_interpolation,17
all,18129685.532995023,52.552152799932905,2.0,8.0,20.0,,55.61533074481772,37.72707208538412,,,15.932861146211726,современный ремонт,панельные,2011.0,2.6838552687114237,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,344984.64034413773,0.4,15.0,,17,1,geo_cluster_interpolation,17
all,21416006.388472367,46.9706345683966,2.0,13.0,24.0,,55.652344416856785,37.701191458919894,,,15.938078926398006,ремонт по дизайн-проекту,монолитно-кирпичный,2011.0,2.675493112690234,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,455944.58293484006,0.5416666666666666,15.0,,17,1,geo_cluster_interpolation,17
all,19018101.702070702,59.11976114592952,2.0,13.0,18.0,,55.648624140407314,37.73811803123354,,,11.043185947678685,без отделки,монолитные,2005.0,2.6345860979912956,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,321687.7290002401,0.7222222222222222,21.0,,17,1,geo_cluster_interpolation,17
all,14676323.575335993,51.062586909229495,2.0,5.0,13.0,,55.673400428237926,37.74048107629764,,,8.923838008298615,косметический ремонт,кирпичные,1975.0,2.6753400407625576,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,287418.33235799626,0.38461538461538464,51.0,,17,1,geo_cluster_interpolation,17
1k,12798283.489852553,34.55405911358746,2.0,6.0,18.0,,55.66510847525023,37.7504483237864,,,7.734525231924392,косметический ремонт,панельные,2001.0,2.578596761729287,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,370384.3721451518,0.3333333333333333,25.0,,17,1,geo_cluster_interpolation,17
all,11764224.285844473,26.4349443910112,1.0,12.0,26.0,,55.65865734704981,37.71198390006687,,,8.705375279419396,без отделки,монолитные,2007.0,2.657720793425091,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,445025.4977591221,0.46153846153846156,19.0,,17,1,geo_cluster_interpolation,17
all,29339324.949245535,74.0640310047039,2.0,3.0,16.0,,55.66604545854089,37.749678495175836,,,13.81973096105369,ремонт по дизайн-проекту,монолитные,2000.0,2.694539738915235,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, подземный паркинг",есть,synthetic,,,,,,,,,,396134.59531229344,0.1875,26.0,,17,1,geo_cluster_interpolation,17
all,25565475.941518944,61.970918092894465,2.0,5.0,20.0,,55.651789670475985,37.75451623482518,,,8.989426202396093,unknown,монолитные,2001.0,2.6588754587116514,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,412539.89336088696,0.25,25.0,,17,1,geo_cluster_interpolation,17
all-maryino,17968164.762042888,50.43303511401836,,7.0,17.0,,55.663984433358095,37.76821599904274,,,9.178899872771337,косметический ремонт,панельные,2000.0,2.6352121090025933,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,356277.68032244523,0.4117647058823529,26.0,,17,1,geo_cluster_interpolation,17
all-moskvorechie-saburovo,14936444.563419733,37.9004110262503,1.0,2.0,17.0,,55.63642967640718,37.72362792356719,,,8.713230979349486,косметический ремонт,панели железобетонные,2002.0,2.6769255478853484,не угловая,"грузовой, пассажирский",,парковка,наземный паркинг,нет,synthetic,,,,,,,,,,394097.16567650315,0.11764705882352941,24.0,,17,1,geo_cluster_interpolation,17
all,25600160.58822397,66.79603972084824,3.0,13.0,18.0,,55.648584459027056,37.74388939175617,,,10.872913968350707,косметический ремонт,панельные,1997.0,2.6749264687555803,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,383258.6586751445,0.7222222222222222,29.0,,17,1,geo_cluster_interpolation,17
2k,15986988.9329485,41.33879148409773,2.0,3.0,7.0,,55.63991864431779,37.68114688369284,,,8.878988929551799,косметический ремонт,кирпичные,1964.0,2.677751218111191,не угловая,"пассажирский, грузовой",,двор,гостевой паркинг,нет,synthetic,,,,,,,,,,386730.9217082071,0.42857142857142855,62.0,,17,1,geo_cluster_interpolation,17
all,22748736.89797267,68.25838379457025,3.0,4.0,14.0,,55.616480191528055,37.735553186152515,,,10.368363415523183,косметический ремонт,панельные,1980.0,2.6354778262564587,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,333273.8871526323,0.2857142857142857,46.0,,17,1,geo_cluster_interpolation,17
1k,19336630.11126979,46.70988371355375,2.0,11.0,18.0,,55.638837854520396,37.7184476576593,,,9.579159261032576,евроремонт,монолитные,2008.0,2.7077580559377616,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,413972.98759831645,0.6111111111111112,18.0,,17,1,geo_cluster_interpolation,17
3k,22964698.225850526,64.33896236499525,2.0,10.0,17.0,,55.65480463951985,37.75785856202865,,,8.856607639755676,косметический ремонт,другое,2002.0,2.682271489262265,не угловая,unknown,,парковка,наземный паркинг,нет,synthetic,,,,,,,,,,356932.99023959506,0.5882352941176471,24.0,,17,1,geo_cluster_interpolation,17
all-brateevo,21967724.37937518,57.00595076692311,2.0,15.0,20.0,,55.636929728922745,37.721227882111776,,,14.908750525590573,современный ремонт,панельные,1999.0,2.697013165547139,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,385358.44212463585,0.75,27.0,,17,1,geo_cluster_interpolation,17
all,14579716.293251341,35.894133475045116,1.0,32.0,37.0,,55.64372063197609,37.7053616021592,,,15.143919435662106,без отделки,монолитные,2020.0,2.7018208603458467,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,406186.6071620779,0.8648648648648649,6.0,,17,1,geo_cluster_interpolation,17
all,14841699.736663725,42.69589424506942,1.0,4.0,15.0,,55.64416769223532,37.69560044447566,,,8.571496992410658,косметический ремонт,панельные,1993.0,2.6508908911452753,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,347614.21441307943,0.26666666666666666,33.0,,17,1,geo_cluster_interpolation,17
all-kapotnya,19925557.138432495,59.897184941711586,3.0,2.0,7.0,,55.64597472440126,37.724603017460794,,,9.094829507033019,косметический ремонт,панельные,1977.0,2.6602368736511086,не угловая,пассажирский,,двор,наземный паркинг,есть,synthetic,,,,,,,,,,332662.664494548,0.2857142857142857,49.0,,17,1,geo_cluster_interpolation,17
all,16971961.166510034,48.284478995531515,2.0,12.0,20.0,,55.61908438744359,37.71249866896774,,,12.971967153915932,косметический ремонт,панельные,2002.0,2.696684773372155,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,351499.3123997611,0.6,24.0,,17,1,geo_cluster_interpolation,17
2k,21694060.043085285,58.635019358894866,3.0,7.0,15.0,,55.64374296605062,37.6940712884724,,,10.264441469267197,косметический ремонт,кирпичные,1982.0,2.7549149099886243,не угловая,"пассажирский, грузовой",,двор,гостевой паркинг,нет,synthetic,,,,,,,,,,369984.6999333227,0.4666666666666667,44.0,,17,1,geo_cluster_interpolation,17
all,13919695.987577163,36.19399431311577,1.0,3.0,4.0,,55.64836805139568,37.74475507528837,,,8.408166003455865,косметический ремонт,панельные,1996.0,2.70628272355299,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,384585.7925256131,0.75,30.0,,17,1,geo_cluster_interpolation,17
all,19356643.885698207,52.02605617588833,1.0,3.0,15.0,,55.64972053660995,37.701381299222994,,,10.337743969374822,косметический ремонт,панельные,1995.0,2.666970574837224,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,372056.72135242715,0.2,31.0,,17,1,geo_cluster_interpolation,17
all,17119002.048037134,51.292864809543424,2.0,4.0,14.0,,55.65309096718772,37.7079436377425,,,7.0980740955236445,евроремонт,монолитные,1994.0,2.6859041184470787,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,333750.1641135087,0.2857142857142857,32.0,,17,1,geo_cluster_interpolation,17
all,11491300.757773794,32.54983722663444,1.0,3.0,12.0,,55.61134063057814,37.733955000725274,,,5.923344907928244,чистовая отделка,блочные,1977.0,2.6544618607951604,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,353037.11898045527,0.25,49.0,,17,1,geo_cluster_interpolation,17
all,7397503.3621559255,30.40042146011539,1.0,1.0,5.0,,55.65853117141742,37.72950283578775,,,8.121459201784843,unknown,монолитные,2002.0,2.5871804697790823,не угловая,unknown,,двор,unknown,нет,synthetic,,,,,,,,,,243335.55282650504,0.2,24.0,,17,1,geo_cluster_interpolation,17
all,21009499.654840626,56.285856646820754,2.0,11.0,17.0,,55.63910000080362,37.7024049937958,,,9.913424900174245,косметический ремонт,монолитные,2010.0,2.6827579320116746,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,373264.2782123726,0.6470588235294118,16.0,,17,1,geo_cluster_interpolation,17
all,18041212.25741012,44.58425055698607,2.0,15.0,24.0,,55.633519365011544,37.696620896227536,,,14.173184468180706,unknown,блочные,2006.0,2.7176684153149666,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,404654.3797871057,0.625,20.0,,17,1,geo_cluster_interpolation,17
all,14659672.769051583,61.63259585671378,2.0,6.0,14.0,,55.64833776632808,37.74918519765609,,,6.24447301317408,требует ремонта / частичный ремонт,монолитные,1993.0,2.5710586951636425,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,237855.8385425311,0.42857142857142855,33.0,,17,1,geo_cluster_interpolation,17
all-maryino,15974559.610936586,35.7772109526164,2.0,27.0,32.0,,55.64012031542139,37.71903517021584,,,14.21145172593431,требует ремонта / частичный ремонт,панельные,2013.0,2.6616865466192827,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,446500.976056893,0.84375,13.0,,17,1,geo_cluster_interpolation,17
1k,15745941.502370093,44.340670556081086,2.0,4.0,12.0,,55.65172042817604,37.73374602463161,,,9.143254506172736,косметический ремонт,панельные,1976.0,2.6752480684039113,не угловая,грузовой,,двор,наземный паркинг,есть,synthetic,,,,,,,,,,355112.8412109821,0.3333333333333333,50.0,,17,1,geo_cluster_interpolation,17
3k,15931908.292957155,41.66595535014914,2.0,6.0,16.0,,55.636680551031375,37.728015902716926,,,7.357203210586672,евроремонт,панели железобетонные,2002.0,2.6665102838013555,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,382372.3267370162,0.375,24.0,,17,1,geo_cluster_interpolation,17
all,21315788.542508144,56.4301390749076,2.0,3.0,15.0,,55.65362700417861,37.711604729829794,,,11.258522317952568,косметический ремонт,панельные,1996.0,2.6716713418044766,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,377737.65742828883,0.2,30.0,,17,1,geo_cluster_interpolation,17
2k,8230862.403932563,52.782312461649795,2.0,6.0,14.0,,55.630339734815784,37.79677929932881,,,9.44272104454348,косметический ремонт,панельные,1990.0,2.657957768659205,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,155939.78399322473,0.42857142857142855,36.0,,17,1,geo_cluster_interpolation,17
all-brateevo,18844879.503230628,52.71457281966261,2.0,12.0,14.0,,55.63808646920605,37.74214554840876,,,8.619634518939248,современный ремонт,панельные,1989.0,2.662934800081727,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,357488.9920420917,0.8571428571428571,37.0,,17,1,geo_cluster_interpolation,17
all,21592137.67815495,62.49224519969642,3.0,7.0,19.0,,55.62834765512793,37.718507117369434,,,10.012119768581288,косметический ремонт,панельные,1991.0,2.728459487024735,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,345517.07350498333,0.3684210526315789,35.0,,17,1,geo_cluster_interpolation,17
all,20140158.338490408,48.9264162686649,2.0,5.0,25.0,,55.64968082115517,37.73463712246135,,,14.430241079674806,евроремонт,панельные,2001.0,2.639854941548248,не угловая,unknown,,двор,парковка во дворе,нет,synthetic,,,,,,,,,,411641.80568420753,0.2,25.0,,17,1,geo_cluster_interpolation,17
2k,9263824.815280922,64.76071038636918,2.0,8.0,12.0,,55.63068798457537,37.79291078629805,,,9.805952755393129,косметический ремонт,панельные,1982.0,2.646759309241972,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,143046.99191858724,0.6666666666666666,44.0,,17,1,geo_cluster_interpolation,17
all-zyablikovo,26418080.014223803,65.17422028460985,2.0,2.0,18.0,,55.63655607103284,37.74099374865901,,,10.957363794213437,косметический ремонт,панельные,1987.0,2.649473498156442,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,405345.5476545553,0.1111111111111111,39.0,,17,1,geo_cluster_interpolation,17
all,18612778.795355782,50.8734054784529,2.0,13.0,20.0,,55.64133398331806,37.74895730934453,,,12.47099117766271,евроремонт,панельные,1998.0,2.6641451443673185,не угловая,unknown,,двор,парковка во дворе,нет,synthetic,,,,,,,,,,365864.61276391457,0.65,28.0,,17,1,geo_cluster_interpolation,17
all-brateevo,6776212.834373648,18.60322659723418,,2.0,15.0,,55.63455197771085,37.746470854322766,,,9.749708205782492,косметический ремонт,панельные,1989.0,2.6836574779700073,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,364249.33056403755,0.13333333333333333,37.0,,17,1,geo_cluster_interpolation,17
all,23392493.44793686,56.39564732224903,2.0,5.0,16.0,,55.62696565168513,37.74506369159066,,,8.950410144036884,косметический ремонт,панельные,1997.0,2.6494246447953853,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,414792.5337973402,0.3125,29.0,,17,1,geo_cluster_interpolation,17
all-pechatniki,11838456.619732974,25.20036870171221,1.0,4.0,23.0,,55.6633013103481,37.713133164722116,,,6.947511923799485,без отделки,монолитный железобетонный каркас,2002.0,2.6844441034307054,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,469773.15133205266,0.17391304347826086,24.0,,17,1,geo_cluster_interpolation,17
all,14140747.258502627,35.40166576744194,1.0,21.0,30.0,,55.65002844424258,37.71261594468321,,,14.888549967173068,без отделки,монолитные,2012.0,2.6386256128422323,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,399437.3414910756,0.7,14.0,,17,1,geo_cluster_interpolation,17
all,24999207.208460465,62.23961491273405,3.0,3.0,32.0,,55.64506822559127,37.70694855457683,,,9.141935908446959,евроремонт,монолитные,2019.0,2.681119162916316,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,401660.69863240264,0.09375,7.0,,17,1,geo_cluster_interpolation,17
3k,23946827.28830905,68.35956429068203,3.0,11.0,14.0,,55.64046734078883,37.745547232951616,,,9.553151291376034,евроремонт,панельные,1990.0,2.66018991468585,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,350306.90345656866,0.7857142857142857,36.0,,17,1,geo_cluster_interpolation,17
2k,23825278.509148654,59.49356956182372,3.0,7.0,14.0,,55.62480552334291,37.7015963936632,,,9.087925086921182,евроремонт,панельные,1979.0,2.6384905692180345,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,400468.12932261906,0.5,47.0,,17,1,geo_cluster_interpolation,17
all,31603339.14680046,75.13632070017495,3.0,8.0,26.0,,55.63170547709895,37.72189097175181,,,14.434077593531214,современный ремонт,монолитные,2010.0,2.7547662276772877,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,420613.344548915,0.3076923076923077,16.0,,17,1,geo_cluster_interpolation,17
studio,19368582.68148429,46.00813733490875,1.0,2.0,23.0,,55.6362540159577,37.69410342366743,,,6.237466033992934,без отделки,панельные,2002.0,2.693766098870342,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,420981.67418719525,0.08695652173913043,24.0,,17,1,geo_cluster_interpolation,17
all,8557174.682192147,33.68421696128546,1.0,1.0,5.0,,55.65041066163727,37.717954075509056,,,9.462713122708553,unknown,монолитные,2002.0,2.662955904076876,не угловая,unknown,,двор,unknown,нет,synthetic,,,,,,,,,,254041.07484603935,0.2,24.0,,17,1,geo_cluster_interpolation,17
all-kapotnya,19973505.804137,72.1834629094333,3.0,2.0,7.0,,55.651630276200194,37.75425415405265,,,8.41011729633788,косметический ремонт,панельные,1993.0,2.643596896536264,не угловая,пассажирский,,двор,наземный паркинг,есть,synthetic,,,,,,,,,,276704.7326227232,0.2857142857142857,33.0,,17,1,geo_cluster_interpolation,17
all,36251217.43342699,76.07668978065254,4.0,12.0,31.0,,55.62451814576485,37.732103821937116,,,16.25598843467766,современный ремонт,монолитные,2022.0,2.7658848468412467,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,476508.86937836016,0.3870967741935484,4.0,,17,1,geo_cluster_interpolation,17
2k,8993518.62899134,62.87107829649327,2.0,9.0,12.0,,55.64035894680071,37.78450722520877,,,10.370115513716803,косметический ремонт,панельные,1986.0,2.648855356640482,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,143046.99191858724,0.75,40.0,,17,1,geo_cluster_interpolation,17
studio,11849478.553480394,26.289446927983974,1.0,5.0,21.0,,55.61962598502788,37.71305032752993,,,6.649754242738604,без отделки,панельные,1991.0,2.6116517228931575,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,450731.37468202645,0.23809523809523808,35.0,,17,1,geo_cluster_interpolation,17
all,13208368.570561461,32.37507966901107,1.0,9.0,11.0,,55.60788724985565,37.72210878210874,,,8.785575197836284,косметический ремонт,панельные,1980.0,2.523569607514754,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,,,,,,,,,,407979.4924243633,0.8181818181818182,46.0,,17,1,geo_cluster_interpolation,17
all,15232682.173722977,41.37865681841456,1.0,6.0,22.0,,55.602796352098515,37.73050363397101,,,15.074547416579268,чистовая отделка,блочные,2007.0,2.669169994667593,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,368128.9665967128,0.2727272727272727,19.0,,17,1,geo_cluster_interpolation,17
all-moskvorechie-saburovo,15186846.872913226,36.92112494319085,1.0,5.0,15.0,,55.62516826083064,37.723569224436204,,,7.801355931791935,косметический ремонт,панели железобетонные,1995.0,2.642526984505881,не угловая,"грузовой, пассажирский",,парковка,наземный паркинг,нет,synthetic,,,,,,,,,,411332.1816786639,0.3333333333333333,31.0,,17,1,geo_cluster_interpolation,17
all-zyablikovo,7725364.598662774,21.096796077088054,,4.0,14.0,,55.63233452518705,37.750997635306675,,,9.237668488065331,евроремонт,железобетонные панели,1983.0,2.678494237077126,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,366186.6271273685,0.2857142857142857,43.0,,17,1,geo_cluster_interpolation,17
all,11787590.49269137,32.169091375114554,1.0,3.0,11.0,,55.623189539761135,37.738335567299394,,,5.550256922399524,обычное состояние,панельные,1979.0,2.635510611733523,не угловая,пассажирский,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,366425.96942635573,0.2727272727272727,47.0,,17,1,geo_cluster_interpolation,17
all-pechatniki,15887217.507483115,34.470268061025344,1.0,4.0,21.0,,55.66432919712871,37.73154942020767,,,7.178065116789465,без отделки,монолитный железобетонный каркас,2002.0,2.654961282694991,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,460896.25643052044,0.19047619047619047,24.0,,17,1,geo_cluster_interpolation,17
all-kapotnya,14420725.129310438,59.34918801173442,2.0,1.0,6.0,,55.65181721418219,37.74534876950143,,,9.313101340704891,косметический ремонт,панельные,1998.0,2.6411965115539005,не угловая,пассажирский,,двор,наземный паркинг,есть,synthetic,,,,,,,,,,242981.00129793177,0.16666666666666666,28.0,,17,1,geo_cluster_interpolation,17
all,15054382.186629958,47.62443280813043,2.0,4.0,11.0,,55.64161760360421,37.743293299873734,,,7.134076205212509,косметический ремонт,панельные,1976.0,2.680362270598594,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,316106.2777856302,0.36363636363636365,50.0,,17,1,geo_cluster_interpolation,17
3k,23406088.95585816,72.24089257299649,3.0,23.0,23.0,,55.66637705280695,37.75392130471553,,,11.456691331064492,обычное состояние,панельные,2004.0,2.6757085074934865,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,324000.55041135126,1.0,22.0,,17,1,geo_cluster_interpolation,17
1k,16546912.730879808,43.551714176220976,1.0,11.0,24.0,,55.65986071971195,37.72571793594082,,,9.991153948963069,евроремонт,панельные,2021.0,2.7024991906697835,не угловая,"пассажирский, грузовой",,двор,подземный паркинг,нет,synthetic,,,,,,,,,,379937.1171459961,0.4583333333333333,5.0,,17,1,geo_cluster_interpolation,17
1k,11879949.40977811,29.143166804683066,1.0,2.0,6.0,,55.673029584457524,37.75526687949243,,,5.1503573706346915,косметический ремонт,панельные,1974.0,2.5910756946589153,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,407640.99143367977,0.3333333333333333,52.0,,17,1,geo_cluster_interpolation,17
1k,15066117.59076458,41.157757956980625,1.0,12.0,21.0,,55.649251355227825,37.738884666988184,,,10.175453884369476,косметический ремонт,панельные,1984.0,2.654473496629384,не угловая,"пассажирский, грузовой",,двор,unknown,есть,synthetic,,,,,,,,,,366057.7820228244,0.5714285714285714,42.0,,17,1,geo_cluster_interpolation,17
all-zyablikovo,19646647.7947204,51.252854272831236,2.0,11.0,26.0,,55.63109255788226,37.72658533490952,,,12.455763824171255,евроремонт,железобетонные панели,2000.0,2.6785952096736376,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,383327.87653418444,0.4230769230769231,26.0,,17,1,geo_cluster_interpolation,17
all,24596462.992774982,68.96459347583892,3.0,13.0,17.0,,55.64928240940837,37.72908316740128,,,13.331192090491207,косметический ремонт,панельные,1997.0,2.661706137887779,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,356653.4906262025,0.7647058823529411,29.0,,17,1,geo_cluster_interpolation,17
all,10426243.8620005,25.969586189158473,1.0,5.0,12.0,,55.62219312388495,37.736434375409274,,,5.683221646980392,косметический ремонт,панельные,1991.0,2.6774576972304023,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,401479.01418441336,0.4166666666666667,35.0,,17,1,geo_cluster_interpolation,17
2k,19821591.075226422,44.263078111352236,2.0,2.0,13.0,,55.635688937572404,37.74635603718123,,,7.93890005360982,евроремонт,панельные,1986.0,2.647121043435132,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,447813.2095865864,0.15384615384615385,40.0,,17,1,geo_cluster_interpolation,17
all,15644546.312611826,42.97128065643966,1.0,25.0,28.0,,55.64699240240948,37.71460094237691,,,13.10139904900487,без отделки,монолитные,2014.0,2.639924574601015,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,364069.8176461571,0.8928571428571429,12.0,,17,1,geo_cluster_interpolation,17
all-kapotnya,13012965.73078131,48.07984168391973,1.0,2.0,11.0,,55.65593726375678,37.74356306175083,,,10.001955840075608,косметический ремонт,панельные,2000.0,2.6648691340740887,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,270653.2566460901,0.18181818181818182,26.0,,17,1,geo_cluster_interpolation,17
all,10664251.516281074,40.76136813093159,1.0,4.0,8.0,,55.65402490495238,37.73379282186412,,,6.791877376406575,евроремонт,панельные,1993.0,4.197823097323099,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,261626.4371211955,0.5,33.0,,17,1,geo_cluster_interpolation,17
all-moskvorechie-saburovo,16002400.274584861,41.54305928866854,1.0,3.0,13.0,,55.64251407627817,37.7192839992818,,,6.82973478800415,косметический ремонт,панели железобетонные,1995.0,2.7008923761643997,не угловая,"грузовой, пассажирский",,парковка,наземный паркинг,нет,synthetic,,,,,,,,,,385200.3330662204,0.23076923076923078,31.0,,17,1,geo_cluster_interpolation,17
all,14928383.902303474,35.24857074792107,1.0,10.0,20.0,,55.65603771139142,37.73661209267266,,,9.859043047469553,косметический ремонт,панельные,2009.0,2.654878027591099,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,423517.4245521412,0.5,17.0,,17,1,geo_cluster_interpolation,17
all,18343598.85243235,41.86406996611469,1.0,3.0,37.0,,55.72183743978268,37.725993738681574,,,15.377021089668967,евроремонт,монолитные,2006.0,2.682934520709966,,unknown,,unknown,unknown,,synthetic,,,,,,,,,,438170.46138323133,0.08108108108108109,20.0,,18,1,geo_cluster_interpolation,18
